Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
BAR98, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
17.18, 0, 5.17, 42,                              0, 5.17, 38,                              0, 5.17, 221, 0.0,                              45
17.25, 0, 5.25, 43,                              0, 5.25, 38,                              0, 5.25, 225, 0.0,                              45
17.33, 0, 5.33, 44,                              0, 5.33, 39,                              0, 5.33, 228, 0.0,                              45
17.43, 0, 5.42, 44,                              0, 5.42, 40,                              0, 5.42, 232, 0.0,                              45
17.5, 0, 5.5, 45,                              0, 5.5, 40,                              0, 5.5, 236, 0.0,                              45
17.58, 0, 5.58, 46,                              0, 5.58, 41,                              0, 5.58, 239, 0.0,                              45
17.66, 0, 5.65, 47,                              0, 5.65, 41,                              0, 5.65, 243, 0.0,                              45
17.76, 0, 5.75, 47,                              0, 5.75, 42,                              0, 5.75, 247, 0.0,                              45
17.83, 0, 5.83, 48,                              0, 5.83, 43,                              0, 5.83, 250, 0.0,                              45
17.91, 0, 5.91, 49,                              0, 5.91, 43,                              0, 5.91, 253, 0.0,                              45
18.01, 0, 6.0, 49,                              0, 6.0, 44,                              0, 6.0, 258, 0.0,                              45
18.1, 0, 6.09, 50,                              0, 6.09, 45,                              0, 6.09, 262, 0.0,                              45
18.18, 0, 6.17, 51,                              0, 6.17, 45,                              0, 6.17, 265, 0.0,                              45
18.26, 0, 6.25, 52,                              0, 6.25, 46,                              0, 6.25, 269, 0.0,                              45
18.34, 0, 6.33, 52,                              0, 6.33, 46,                              0, 6.33, 272, 0.0,                              45
18.42, 0, 6.41, 53,                              0, 6.41, 47,                              0, 6.41, 275, 0.0,                              45
18.5, 0, 6.49, 54,                              0, 6.49, 48,                              0, 6.49, 279, 0.0,                              45
18.59, 0, 6.58, 54,                              0, 6.58, 48,                              0, 6.58, 283, 0.0,                              45
18.67, 0, 6.66, 55,                              0, 6.66, 49,                              0, 6.66, 286, 0.0,                              45
18.75, 0, 6.74, 56,                              0, 6.74, 50,                              0, 6.74, 290, 0.0,                              45
18.83, 0, 6.82, 56,                              0, 6.82, 50,                              0, 6.82, 293, 0.0,                              45
18.9, 0, 6.9, 57,                              0, 6.9, 51,                              0, 6.9, 296, 0.0,                              45
18.98, 0, 6.98, 58,                              0, 6.98, 51,                              0, 6.98, 300, 0.0,                              45
19.06, 0, 7.05, 58,                              0, 7.05, 52,                              0, 7.05, 303, 0.0,                              45
19.14, 0, 7.13, 59,                              0, 7.13, 52,                              0, 7.13, 307, 0.0,                              45
19.22, 0, 7.21, 60,                              0, 7.21, 53,                              0, 7.21, 310, 0.0,                              45
19.3, 0, 7.29, 60,                              0, 7.29, 54,                              0, 7.29, 314, 0.0,                              45
19.37, 0, 7.37, 61,                              0, 7.37, 54,                              0, 7.37, 317, 0.0,                              45
19.45, 0, 7.45, 62,                              0, 7.45, 55,                              0, 7.45, 320, 0.0,                              45
19.55, 0, 7.54, 62,                              0, 7.54, 55,                              0, 7.54, 324, 0.0,                              45
