Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
SUB01, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
17.47, 0, 5.46, 45,                              0, 5.46, 40,                              0, 5.46, 234, 0.0,                              45
17.56, 0, 5.54, 46,                              0, 5.54, 41,                              0, 5.54, 238, 0.0,                              45
17.64, 0, 5.63, 46,                              0, 5.63, 41,                              0, 5.63, 241, 0.0,                              45
17.72, 0, 5.71, 47,                              0, 5.71, 42,                              0, 5.71, 245, 0.0,                              45
17.8, 0, 5.79, 48,                              0, 5.79, 42,                              0, 5.79, 248, 0.0,                              45
17.88, 0, 5.87, 48,                              0, 5.87, 43,                              0, 5.87, 252, 0.0,                              45
17.96, 0, 5.95, 49,                              0, 5.95, 44,                              0, 5.95, 255, 0.0,                              45
18.05, 0, 6.03, 50,                              0, 6.03, 44,                              0, 6.03, 259, 0.0,                              45
18.13, 0, 6.12, 50,                              0, 6.12, 45,                              0, 6.12, 262, 0.0,                              45
18.21, 0, 6.2, 51,                              0, 6.2, 45,                              0, 6.2, 266, 0.0,                              45
18.31, 0, 6.29, 52,                              0, 6.29, 46,                              0, 6.29, 270, 0.0,                              45
18.39, 0, 6.38, 53,                              0, 6.38, 47,                              0, 6.38, 274, 0.0,                              45
18.47, 0, 6.46, 53,                              0, 6.46, 47,                              0, 6.46, 277, 0.0,                              45
18.56, 0, 6.55, 54,                              0, 6.55, 48,                              0, 6.55, 281, 0.0,                              45
18.65, 0, 6.64, 55,                              0, 6.64, 49,                              0, 6.64, 285, 0.0,                              45
18.75, 0, 6.74, 56,                              0, 6.74, 49,                              0, 6.74, 289, 0.0,                              45
18.83, 0, 6.82, 56,                              0, 6.82, 50,                              0, 6.82, 293, 0.0,                              45
18.93, 0, 6.92, 57,                              0, 6.92, 51,                              0, 6.92, 297, 0.0,                              45
19.03, 0, 7.01, 58,                              0, 7.01, 52,                              0, 7.01, 301, 0.0,                              45
19.12, 0, 7.11, 59,                              0, 7.11, 52,                              0, 7.11, 305, 0.0,                              45
19.2, 0, 7.19, 59,                              0, 7.19, 53,                              0, 7.19, 309, 0.0,                              45
19.3, 0, 7.29, 60,                              0, 7.29, 54,                              0, 7.29, 313, 0.0,                              45
19.39, 0, 7.38, 61,                              0, 7.38, 54,                              0, 7.38, 317, 0.0,                              45
19.47, 0, 7.46, 62,                              0, 7.46, 55,                              0, 7.46, 321, 0.0,                              45
19.57, 0, 7.56, 62,                              0, 7.56, 56,                              0, 7.56, 325, 0.0,                              45
19.66, 0, 7.65, 63,                              0, 7.65, 56,                              0, 7.65, 329, 0.0,                              45
19.76, 0, 7.74, 64,                              0, 7.74, 57,                              0, 7.74, 333, 0.0,                              45
19.84, 0, 7.83, 65,                              0, 7.83, 58,                              0, 7.83, 337, 0.0,                              45
19.93, 0, 7.91, 66,                              0, 7.91, 58,                              0, 7.91, 340, 0.0,                              45
20.01, 0, 8.0, 66,                              0, 8.0, 59,                              0, 8.0, 344, 0.0,                              45
20.1, 0, 8.08, 67,                              0, 8.08, 60,                              0, 8.08, 348, 0.0,                              45
20.18, 0, 8.17, 68,                              0, 8.17, 60,                              0, 8.17, 352, 0.0,                              45
20.28, 0, 8.27, 68,                              0, 8.27, 61,                              0, 8.27, 356, 0.0,                              0
20.37, 0, 8.36, 69,                              0, 8.36, 62,                              0, 8.36, 360, 0.0,                              0
20.47, 0, 8.45, 70,                              0, 8.45, 62,                              0, 8.45, 364, 0.0,                              0
20.55, 0, 8.54, 71,                              0, 8.54, 63,                              0, 8.54, 368, 0.0,                              0
20.63, 0, 8.62, 72,                              0, 8.62, 64,                              0, 8.62, 371, 0.0,                              0
20.72, 0, 8.71, 72,                              0, 8.71, 64,                              0, 8.71, 375, 0.0,                              0
20.81, 0, 8.79, 73,                              0, 8.79, 65,                              0, 8.79, 379, 0.0,                              0
20.89, 0, 8.88, 74,                              0, 8.88, 65,                              0, 8.88, 382, 0.0,                              0
20.98, 0, 8.96, 74,                              0, 8.96, 66,                              0, 8.96, 386, 0.0,                              0
21.06, 0, 9.05, 75,                              0, 9.05, 67,                              0, 9.05, 390, 0.0,                              0
21.15, 0, 9.13, 76,                              0, 9.13, 67,                              0, 9.13, 393, 0.0,                              0
21.23, 0, 9.22, 77,                              0, 9.22, 68,                              0, 9.22, 397, 0.0,                              0
21.32, 0, 9.31, 77,                              0, 9.31, 69,                              0, 9.31, 401, 0.0,                              0
21.41, 0, 9.39, 78,                              0, 9.39, 69,                              0, 9.39, 405, 0.0,                              0
21.49, 0, 9.48, 79,                              0, 9.48, 70,                              0, 9.48, 408, 0.0,                              0
21.58, 0, 9.57, 79,                              0, 9.57, 71,                              0, 9.57, 412, 0.0,                              0
21.68, 0, 9.66, 80,                              0, 9.66, 71,                              0, 9.66, 416, 0.0,                              0
21.76, 0, 9.75, 81,                              0, 9.75, 72,                              0, 9.75, 420, 0.0,                              0
21.85, 0, 9.84, 82,                              0, 9.84, 73,                              0, 9.84, 424, 0.0,                              0
